text,classification
saiba o que disse eduardo cabrita sobre os refugiados ,0
a esquerda gosta de viver na sujeira gosta do feio e idolatra a burrice. pichação não é arte é coisa de vagabundo _ ,0
@diogo_sabio solinho destes às 8 da manhã é gnd mimo mas faz lembrar mt o verão e um gajo não aguenta tar fechado numa sala de aula,0
no iraque 'call of duty' é conhecido como 'the sims',0
essa piada merece o twitter não aquela outra rede social,0
vai daí cirrose! ,0
o brasileiro está cansado de ser enganado!!! sos regime militar get out dilma,0
@gustavozelele e ai clã ,0
@karlariane no perfil dela não tem entende?,0
@capitalismoop feliz dia da mulher em 1 lugar a minha mãe. e tb à @mabolsonaria  @tatydry  @vitriao98675664 e todas as mulheres do tw _,0
o que o feminismo já fez por uma muçulmana?,0
tem sapatão q eh pior q homem qdo recebe um ''não'',0
@voluptama quando o secretário foi para o real madrid o pdc teve de passar atender os telefones ,0
@leandroow3 feliz dia do 'não tenho roupa pra sair',0
@eviesramos eu amo a indústria sapatao brasileira ,0
minha declaração sobre o que está acontecendo na suécia foi referência a reportagem exibida na @foxnews em relação _ ,0
@lucasmcml orgulho hetero... show *w*,0
esse é o seu argumento?   hahaha você vive uma mentira e tem medo de ser desmascarada! ,0
'não come mel morde marimbondo',0
são tantas 'pesssoas' que até têm três 's'. claro são os 'tolerantes' democratas. #forçatrump ,0
@danilogentili quando joão kleber faz na rede tv=putaria mau gosto baixaria quando fazem na globo=ousadia arte tapa na cada da soc _,0
um monte de macho no meu facebook desejando 'feliz dia da mulher' mas que na balada se leva um fora chama de feia e gorda ata,0
@mismuscaria ele quis dizer que o negro construiu a faculdade.,0
@feministinho hoje vi uma mulher se afogando no clube. fiquei apenas de longe incentivando-a para não roubar seu protagonismo. o velóri _,0
essa foi longe agora kkkkkk. ,0
top 3 filmes de moleque american pie - o reencontro superbad projeto x,0
@nexojornal para especialistas a rotulação reforça preconceitos e limita as escolhas profissionais do futuro. ,0
@ghourmet adoro estes católicos que se lembram da bíblia e deus quando é para serem homofóbicos mas depois só o islão é que é religião _,0
eu não sabia que com o dia da mulher viria tanta gente burra falar bosta na internet,0
com h maiúsculo não tem twitter. então você já sabe quem deve ter criado esse perfil.,0
@iasmola @gabrisinhas @leolimaduarte amo esse texto <3,0
@pai_marcola sigam o @justiceiro_sujo e acompanham a hipocrisia que faz parte da vidinha dos politicamente corretos.,0
@editorahumanas há 5 anos atrás eu esteava na internet no @naosalvo ,0
gente quem tá no pique de um jv??? coisa leve.. ou não! rsrsrs,0
foda-se!!!!!!! o que importa???!?  são maioria em direito medicina e biologia p ex! ,0
stf terá que analisar a descriminalização do aborto. esperamos que reconheçam nosso direito!  ,0
