Doc;Adjacency Word Frequency List
1;{'SIGNIFICANCE': 1, 'PSEUDOMONAS': 3, 'AERUGINOSA': 3, 'INFECTION': 3, 'RESPIRATORY': 3, 'TRACT': 3, 'CYSTIC': 1, 'FIBROSIS': 1, 'PATIENTS': 4, 'STUDIED': 1, 'MEANS': 1, 'IMMUNOELECTROPHORETICAL': 1, 'ANALYSIS': 1, 'SERA': 2, 'NUMBER': 3, 'PRECIPITINS': 6, 'CONCENTRATIONS': 3, 'SERUM': 3, 'PROTEINS': 4, 'ADDITION': 1, 'CLINICAL': 1, 'RADIOGRAPHICAL': 1, 'STATUS': 1, 'LUNGS': 1, 'EVALUATED': 1, 'USING': 1, 'SCORING': 1, 'SYSTEMS': 1, 'DEMONSTRATED': 1, 'MAXIMUM': 1, 'ONE': 1, 'SIGNIFICANTLY': 1, 'CHANGED': 2, 'COMPARED': 1, 'MATCHED': 1, 'CONTROL': 1, 'PERSONS': 1, 'NOTABLY': 2, 'IGG': 1, 'IGA': 1, 'ELEVATED': 1, 'ACUTE': 2, 'PHASE': 2, 'LATTER': 1, 'SUGGESTING': 2, 'ACTIVE': 1, 'TISSUE': 3, 'DAMAGE': 2, 'HAPTOGLOBIN': 1, 'CORRELATED': 1, 'MANY': 2, 'ACCOMPANIED': 1, 'RESULTS': 1, 'INDICATE': 1, 'PROTECTIVE': 1, 'VALUE': 1}
2;{'SALIVARY': 3, 'AMYLASE': 5, 'LEVELS': 4, 'DETERMINED': 1, 'NORMAL': 4, 'SUBJECTS': 2, 'BIRTH': 2, 'ADULT': 2, 'LIFE': 1, 'CHILDREN': 4, 'CONDITIONS': 2, 'SOMETIMES': 1, 'ASSOCIATED': 1, 'LOW': 3, 'PANCREATIC': 1, 'MALNUTRITION': 1, 'COELIAC': 2, 'DISEASE': 2, 'CYSTIC': 2, 'FIBROSIS': 2, 'MIXED': 1, 'SALIVA': 1, 'COLLECTED': 1, 'CAREFULLY': 1, 'STANDARDISED': 1, 'MEASURED': 1, 'METHOD': 1, 'DAHLQVIST': 1, 'WIDE': 1, 'SCATTER': 1, 'VALUES': 1, 'CONCENTRATIONS': 2, 'ROSE': 3, 'REACH': 1, 'AGE': 1, 'MONTHS': 1, 'YEAR': 1, 'ACTIVITY': 1, 'NORMALLY': 1, 'TEN': 1, 'WEEKS': 1, 'ONE': 1, 'PREMATURE': 1, 'INFANT': 1, 'FED': 1, 'MILK': 1, 'GASTROSTOMY': 1, 'THIRTEEN': 1, 'MOSTLY': 1, 'SIX': 1, 'MALNOURISHED': 1, 'JEJUNAL': 1, 'VILLOUS': 1, 'ATROPHY': 1, 'UNCERTAIN': 1, 'AETIOLOGY': 1, 'RECOVERY': 1, 'BEGAN': 1}
3;{'ARTICLE': 1, 'REPORTS': 1, 'POSSIBILITY': 1, 'USING': 1, 'INSTRUMENTAL': 1, 'NEUTRON': 1, 'ACTIVATION': 1, 'ANALYSIS': 1, 'INAA': 2, 'SODIUM': 1, 'NAIL': 3, 'CLIPPINGS': 3, 'DIAGNOSING': 1, 'CYSTIC': 1, 'FIBROSIS': 1, 'CHILDREN': 2, 'ADULTS': 1, 'DETECTING': 1, 'HETEROZYGOTES': 3, 'SCREENING': 2, 'NEONATAL': 1, 'PERIOD': 1, 'NEWBORNS': 3, 'PATIENTS': 2, 'TWO': 1, 'HEALTHY': 1, 'CONTROLS': 2, 'ANALYZED': 1, 'DISCRIMINATION': 1, 'FOUND': 1, 'PRECISE': 1, 'INDIVIDUALS': 1, 'ONE': 1, 'YEAR': 1, 'AGE': 2, 'ACCEPTED': 1, 'DIAGNOSTIC': 1, 'TEST': 1, 'COULD': 1, 'DETECTED': 1, 'METHOD': 2, 'FIRST': 1, 'FIVE': 1, 'DAYS': 1, 'LIFE': 1, 'BIG': 1, 'OVERLAP': 1, 'VALUES': 1, 'NORMAL': 1, 'MAKES': 1, 'INVALUABLE': 1, 'EARLY': 1}
4;{'INSTRUMENTAL': 1, 'NEUTRON': 1, 'ACTIVATION': 1, 'ANALYSIS': 1, 'INAA': 3, 'NAIL': 7, 'CLIPPINGS': 4, 'USED': 2, 'DEVELOPMENT': 1, 'DIAGNOSTIC': 1, 'METHOD': 2, 'CYSTIC': 1, 'FIBROSIS': 1, 'PATIENTS': 3, 'CONTROLS': 2, 'THREE': 1, 'YEARS': 1, 'OLD': 1, 'SAMPLED': 1, 'TESTS': 1, 'DIFFERENT': 1, 'ERRORS': 1, 'RESULT': 1, 'STUDY': 1, 'PRECISE': 2, 'COLLECTION': 2, 'ROUTINE': 2, 'OUTLINED': 1, 'SODIUM': 8, 'EASILY': 1, 'WASHED': 1, 'RISK': 1, 'CONTAMINATION': 1, 'NAILS': 4, 'SEEMS': 2, 'SMALL': 1, 'DISTRIBUTION': 1, 'INHOMOGENEOUS': 1, 'CONTENT': 1, 'VARIES': 1, 'ALSO': 1, 'PERSON': 1, 'GOOD': 1, 'EVIDENCE': 1, 'INCREASED': 1, 'COMES': 1, 'SWEAT': 1, 'BASIC': 1, 'INTRINSIC': 1, 'LEVEL': 1, 'PRECISION': 1, 'ACCURACY': 1, 'DETERMINING': 1, 'CONSIDERED': 1, 'SATISFACTORY': 1, 'CONCLUDED': 1, 'CONCENTRATION': 1, 'SUITABLE': 1, 'AID': 1, 'DIAGNOSIS': 1}
5;{'CAPACITY': 1, 'DUODENAL': 3, 'JUICE': 3, 'HYDROLYSE': 1, 'CASEIN': 2, 'TRICHLOROACETIC': 1, 'ACID': 1, 'SOLUBLE': 1, 'PEPTIDES': 1, 'INVESTIGATED': 1, 'CONTROL': 1, 'GROUP': 1, 'INFANTS': 2, 'CHILDREN': 4, 'ADULTS': 2, 'PANCREATIC': 2, 'DISEASE': 2, 'ENTEROGENIC': 2, 'MALABSORPTION': 2, 'COELIAC': 1, 'COW': 1, 'MILK': 1, 'PROTEIN': 1, 'INTOLERANCE': 1, 'PROTEOLYTIC': 3, 'ACTIVITY': 4, 'PER': 1, 'FASTING': 1, 'CONDITION': 1, 'GREAT': 1, 'HEALTHY': 2, 'HOUR': 1, 'GOOD': 1, 'CORRELATION': 1, 'TRYPSIN': 2, 'CONTENT': 1, 'INSUFFICIENCY': 1, 'EXTREMELY': 1, 'LOW': 1, 'MEASURABLE': 1, 'PATIENTS': 1, 'WHEREAS': 1, 'WITHIN': 1, 'RANGES': 1, 'CONTROLS': 1}
6;{'INFLUENCE': 1, 'CHRONIC': 3, 'AERUGINOSA': 6, 'INFECTION': 3, 'OCCURRENCE': 1, 'BONE': 1, 'MARROW': 1, 'DERIVED': 2, 'LYMPHOCYTES': 3, 'CELLS': 8, 'THYMUS': 1, 'PERIPHERAL': 1, 'BLOOD': 2, 'STUDIED': 1, 'GROUPS': 2, 'PATIENTS': 5, 'CYSTIC': 1, 'FIBROSIS': 1, 'ONE': 1, 'GROUP': 2, 'SUFFERED': 1, 'RESPIRATORY': 2, 'TRACT': 2, 'PRODUCED': 1, 'MULTIPLE': 1, 'PRECIPITINS': 3, 'DEMONSTRATED': 1, 'MEANS': 1, 'CROSSED': 1, 'IMMUNOELECTROPHORESIS': 1, 'NEVER': 1, 'HARBOURED': 1, 'PRESENTED': 1, 'DEMONSTRABLE': 1, 'BACTERIA': 1, 'EXAMINED': 1, 'PRESENCE': 2, 'SURFACE': 3, 'MARKERS': 1, 'RECEPTOR': 1, 'COMPLEMENT': 1, 'COMPONENT': 1, 'EAC': 1, 'ROSETTE': 2, 'FORMATION': 2, 'IMMUNOGLOBULINS': 1, 'IMMUNOFLUORESCENT': 1, 'STAINING': 1, 'MARKER': 1, 'SPONTANEOUS': 1, 'BINDING': 1, 'SHEEP': 1, 'RED': 1, 'CELL': 1, 'RATIO': 1, 'NEARLY': 1, 'IDENTICAL': 1, 'WHEREAS': 1, 'TOTAL': 3, 'NUMBERS': 1, 'SIGNIFICANT': 1, 'HIGHER': 1, 'NUMBER': 3, 'PER': 1, 'SERUM': 1, 'SIGNIFICANTLY': 1, 'POSITIVELY': 1, 'CORRELATED': 1, 'WHERAS': 1, 'CORRELATION': 1, 'INSIGNIFICANT': 1}
7;{'OCCURRENCE': 4, 'PSEUDOMONAS': 1, 'AERUGINOSA': 6, 'RESPIRATORY': 2, 'TRACT': 2, 'CYSTIC': 2, 'FIBROSIS': 2, 'PATIENTS': 9, 'PRECIPITINS': 5, 'SERA': 2, 'INVESTIGATED': 1, 'ONE': 2, 'YEAR': 2, 'MEANS': 2, 'MONTHLY': 1, 'BACTERIOLOGICAL': 1, 'EXAMINATIONS': 1, 'TRACHEAL': 1, 'SECRETIONS': 1, 'CROSSED': 1, 'IMMUNOELECTROPHORESIS': 1, 'POLYVALENT': 1, 'ANTIGEN': 1, 'PERIOD': 1, 'PREVALENCE': 1, 'RATE': 1, 'HARBOURING': 1, 'PER': 1, 'CENT': 1, 'NEWLY': 1, 'COLONIZED': 6, 'INTERMITTENTLY': 1, 'NON': 3, 'MUCOID': 10, 'STRAINS': 8, 'PREDOMINATING': 2, 'WHEREAS': 1, 'CHRONICALLY': 4, 'ESPECIALLY': 1, 'ASSOCIATED': 1, 'SIGNIFICANTLY': 2, 'HIGHER': 2, 'NUMBER': 3, 'MALES': 2, 'PRESENTED': 1, 'FEMALES': 2, 'CORRELATED': 1, 'DURATION': 1, 'CHRONIC': 1, 'COLONIZATION': 1, 'CONTRAST': 1, 'RESULTS': 1, 'ACCORDANCE': 1, 'HYPOTHESIS': 1, 'SUBSTANCE': 1, 'COULD': 1, 'VIRULENCE': 1, 'FACTOR': 1, 'MIGHT': 1, 'INHIBIT': 1, 'OPSONIZING': 1, 'EFFECT': 1, 'CELLS': 2, 'COMPLEMENT': 1, 'DEPENDENT': 1, 'LYSIS': 1, 'HEREBY': 1, 'FAVOURING': 1, 'EXPENSE': 1}
8;{'SEVENTY': 1, 'PATIENTS': 4, 'CYSTIC': 3, 'FIBROSIS': 3, 'TREATED': 1, 'CLINIC': 1, 'FOLLOWED': 2, 'ONE': 2, 'YEAR': 1, 'MONTHLY': 1, 'BACTERIOLOGICAL': 2, 'EXAMINATIONS': 2, 'TRACHEAL': 1, 'SECRETIONS': 1, 'DAILY': 1, 'IMPRESSION': 1, 'OBTAINED': 1, 'LABORATORY': 1, 'EXPRESSED': 1, 'MEAN': 1, 'POINT': 1, 'PREVALENCE': 3, 'RATE': 4, 'PSEUDOMONAS': 1, 'AERUGINOSA': 5, 'PER': 18, 'CENT': 17, 'STAPHYLOCOCCUS': 1, 'AUREUS': 5, 'HAEMOPHILUS': 1, 'INFLUENZAE': 4, 'DIPLOCOCCUS': 1, 'PNEUMONIAE': 3, 'MISCELLANEOUS': 2, 'BACTERIA': 2, 'MAINLY': 3, 'ENTEROBACTERIACEAE': 3, 'FLUCTUATIONS': 1, 'BACTERIOLOGY': 1, 'DESCRIBED': 1, 'ADDITIONAL': 1, 'EPIDEMIOLOGICAL': 1, 'TERMS': 1, 'STUDY': 1, 'PERIOD': 2, 'HARBOURED': 1, 'MUCOID': 1, 'STRAINS': 1, 'PATTERN': 1, 'FOUND': 1, 'AGE': 2, 'GROUPS': 1, 'MINOR': 1, 'DEPENDENT': 1, 'MODIFICATIONS': 1, 'ESPECIALLY': 1, 'REGARDS': 4, 'PREDOMINATING': 2, 'CHRONIC': 1, 'COLONIZATION': 3, 'REFLECTS': 1, 'DIFFICULT': 1, 'THERAPEUTIC': 1, 'PROBLEMS': 4, 'CONTRAST': 1, 'NEW': 2, 'RECOLONIZATION': 2, 'REFLECT': 1, 'PREVENTION': 2, 'INCIDENCE': 1, 'RISK': 1, 'GROUP': 1, 'RESULTS': 1, 'SHOW': 1, 'STILL': 1, 'CONSIDERABLE': 1, 'THERAPY': 1, 'WELL': 1, 'ALTHOUGH': 1, 'MANY': 1, 'SPECIES': 1, 'MAY': 1, 'COLONIZE': 1, 'RESPIRATORY': 1, 'TRACTS': 1, 'MAIN': 1, 'CLINICAL': 1, 'CONCERN': 1, 'REASON': 1, 'DISCUSSED': 1}
9;{'FAMILY': 2, 'PRESENTED': 1, 'CELIAC': 2, 'SPRUE': 2, 'CYSTIC': 1, 'FIBROSIS': 1, 'OCCURRED': 1, 'WITHIN': 1, 'SIBSHIP': 1, 'COUSIN': 1, 'INDEX': 1, 'CASE': 1, 'ALSO': 1, 'DISCOVERED': 1, 'GENETICS': 1, 'INCIDENCE': 1, 'CONDITIONS': 1, 'REVIEWED': 1, 'ESTIMATED': 1, 'LIKELIHOOD': 1, 'ASSOCIATION': 1, 'OCCURRING': 1, 'BASIS': 1, 'CHANCE': 1}
10;{'PATIENT': 1, 'EXHIBITED': 1, 'FEATURES': 1, 'KARTAGENER': 2, 'SYNDROME': 2, 'CYSTIC': 2, 'FIBROSIS': 2, 'AUTHORS': 1, 'KNOWLEDGE': 1, 'REPRESENTS': 1, 'THIRD': 1, 'REPORT': 1, 'COMBINATION': 1, 'EXCLUDED': 1, 'DIAGNOSIS': 1, 'MADE': 1}
