query_number;doc_number_list;doc_score_list
1;[139, 151, 166, 311, 370, 392, 439, 440, 441, 454, 461, 502, 503, 505, 520, 522, 526, 527, 533, 593, 619, 737, 742, 789, 827, 835, 861, 875, 891, 921, 922, 1175, 1185, 1222];[0.08759124087591241, 0.072992700729927, 0.014598540145985401, 0.014598540145985401, 0.029197080291970802, 0.014598540145985401, 0.014598540145985401, 0.029197080291970802, 0.0948905109489051, 0.0072992700729927005, 0.06569343065693431, 0.029197080291970802, 0.014598540145985401, 0.014598540145985401, 0.029197080291970802, 0.014598540145985401, 0.043795620437956206, 0.029197080291970802, 0.10218978102189781, 0.014598540145985401, 0.014598540145985401, 0.0072992700729927005, 0.0072992700729927005, 0.014598540145985401, 0.014598540145985401, 0.014598540145985401, 0.014598540145985401, 0.06569343065693431, 0.014598540145985401, 0.029197080291970802, 0.029197080291970802, 0.0072992700729927005, 0.014598540145985401, 0.014598540145985401]
2;[169, 434, 454, 498, 499, 592, 875];[0.09523809523809523, 0.19047619047619047, 0.047619047619047616, 0.09523809523809523, 0.09523809523809523, 0.19047619047619047, 0.2857142857142857]
3;[23, 40, 139, 190, 221, 246, 309, 311, 325, 345, 347, 356, 370, 374, 375, 439, 440, 454, 515, 520, 524, 526, 527, 533, 535, 560, 561, 571, 584, 604, 623, 633, 733, 742, 854, 856, 950, 967, 1144, 1161, 1172, 1175, 1196];[0.012422360248447204, 0.012422360248447204, 0.08074534161490683, 0.012422360248447204, 0.012422360248447204, 0.012422360248447204, 0.012422360248447204, 0.024844720496894408, 0.012422360248447204, 0.012422360248447204, 0.012422360248447204, 0.012422360248447204, 0.024844720496894408, 0.012422360248447204, 0.07453416149068323, 0.012422360248447204, 0.043478260869565216, 0.049689440993788817, 0.012422360248447204, 0.012422360248447204, 0.012422360248447204, 0.024844720496894408, 0.049689440993788817, 0.012422360248447204, 0.012422360248447204, 0.012422360248447204, 0.012422360248447204, 0.012422360248447204, 0.012422360248447204, 0.024844720496894408, 0.012422360248447204, 0.08695652173913043, 0.012422360248447204, 0.024844720496894408, 0.006211180124223602, 0.06832298136645963, 0.012422360248447204, 0.012422360248447204, 0.043478260869565216, 0.012422360248447204, 0.012422360248447204, 0.012422360248447204, 0.024844720496894408]
4;[503, 538, 539, 540, 553, 604, 669, 711, 876];[0.038461538461538464, 0.019230769230769232, 0.019230769230769232, 0.019230769230769232, 0.038461538461538464, 0.2692307692307692, 0.07692307692307693, 0.25, 0.2692307692307692]
5;[23, 47, 50, 60, 114, 132, 135, 139, 151, 169, 189, 190, 197, 200, 226, 256, 265, 297, 298, 299, 311, 312, 325, 333, 343, 347, 349, 369, 370, 371, 374, 386, 392, 410, 420, 427, 428, 430, 434, 437, 439, 440, 441, 450, 461, 465, 478, 496, 497, 498, 499, 500, 501, 502, 503, 505, 511, 513, 516, 520, 524, 531, 533, 549, 553, 559, 561, 568, 590, 592, 593, 604, 605, 633, 669, 701, 702, 710, 711, 722, 724, 729, 731, 733, 750, 761, 763, 772, 779, 788, 805, 843, 845, 856, 857, 861, 864, 867, 875, 876, 888, 889, 895, 925, 935, 943, 944, 975, 980, 982, 990, 1000, 1019, 1038, 1040, 1064, 1076, 1080, 1088, 1091, 1092, 1093, 1098, 1144, 1156, 1175, 1185, 1188, 1196, 1223, 1226];[0.01773049645390071, 0.02127659574468085, 0.0035460992907801418, 0.0035460992907801418, 0.0070921985815602835, 0.0035460992907801418, 0.0035460992907801418, 0.0035460992907801418, 0.024822695035460994, 0.0035460992907801418, 0.0035460992907801418, 0.0035460992907801418, 0.0035460992907801418, 0.0035460992907801418, 0.0035460992907801418, 0.01773049645390071, 0.0035460992907801418, 0.0035460992907801418, 0.0035460992907801418, 0.0035460992907801418, 0.0035460992907801418, 0.0035460992907801418, 0.010638297872340425, 0.0035460992907801418, 0.0070921985815602835, 0.010638297872340425, 0.0035460992907801418, 0.0035460992907801418, 0.014184397163120567, 0.0035460992907801418, 0.024822695035460994, 0.0070921985815602835, 0.0035460992907801418, 0.0035460992907801418, 0.0035460992907801418, 0.0035460992907801418, 0.0035460992907801418, 0.0070921985815602835, 0.0035460992907801418, 0.0035460992907801418, 0.024822695035460994, 0.0035460992907801418, 0.0035460992907801418, 0.0035460992907801418, 0.015957446808510637, 0.010638297872340425, 0.0035460992907801418, 0.015957446808510637, 0.01950354609929078, 0.01950354609929078, 0.02304964539007092, 0.014184397163120567, 0.0017730496453900709, 0.0017730496453900709, 0.02127659574468085, 0.0035460992907801418, 0.008865248226950355, 0.0035460992907801418, 0.0070921985815602835, 0.0035460992907801418, 0.0070921985815602835, 0.0035460992907801418, 0.01773049645390071, 0.0035460992907801418, 0.0070921985815602835, 0.0035460992907801418, 0.0035460992907801418, 0.0035460992907801418, 0.0035460992907801418, 0.0070921985815602835, 0.024822695035460994, 0.0070921985815602835, 0.0017730496453900709, 0.02304964539007092, 0.0035460992907801418, 0.0035460992907801418, 0.0035460992907801418, 0.02127659574468085, 0.0070921985815602835, 0.0035460992907801418, 0.0070921985815602835, 0.0035460992907801418, 0.0070921985815602835, 0.0070921985815602835, 0.0017730496453900709, 0.0035460992907801418, 0.0035460992907801418, 0.0017730496453900709, 0.0035460992907801418, 0.0035460992907801418, 0.01773049645390071, 0.0070921985815602835, 0.0035460992907801418, 0.01950354609929078, 0.0035460992907801418, 0.01773049645390071, 0.0035460992907801418, 0.005319148936170213, 0.024822695035460994, 0.0070921985815602835, 0.0070921985815602835, 0.0070921985815602835, 0.014184397163120567, 0.0035460992907801418, 0.0035460992907801418, 0.0035460992907801418, 0.0035460992907801418, 0.01950354609929078, 0.015957446808510637, 0.0070921985815602835, 0.0070921985815602835, 0.0070921985815602835, 0.0035460992907801418, 0.0035460992907801418, 0.0035460992907801418, 0.01773049645390071, 0.0035460992907801418, 0.0035460992907801418, 0.0035460992907801418, 0.0035460992907801418, 0.0070921985815602835, 0.0070921985815602835, 0.0035460992907801418, 0.015957446808510637, 0.0035460992907801418, 0.012411347517730497, 0.0035460992907801418, 0.0035460992907801418, 0.0035460992907801418, 0.0035460992907801418, 0.0035460992907801418]
6;[25, 31, 90, 195, 326, 370, 438, 440, 441, 503, 511, 586, 592, 593, 722, 731, 734, 805, 875, 922, 963, 975, 1092, 1093];[0.02531645569620253, 0.17721518987341772, 0.02531645569620253, 0.012658227848101266, 0.02531645569620253, 0.0379746835443038, 0.02531645569620253, 0.02531645569620253, 0.02531645569620253, 0.10126582278481013, 0.02531645569620253, 0.02531645569620253, 0.05063291139240506, 0.02531645569620253, 0.02531645569620253, 0.02531645569620253, 0.05063291139240506, 0.02531645569620253, 0.08860759493670886, 0.02531645569620253, 0.02531645569620253, 0.05063291139240506, 0.02531645569620253, 0.05063291139240506]
7;[45, 53, 166, 171, 256, 370, 371, 386, 410, 439, 535, 623, 633, 634, 640, 669, 831, 853, 856, 857, 921, 1027, 1054, 1056, 1057, 1059, 1064, 1161];[0.012195121951219513, 0.024390243902439025, 0.04878048780487805, 0.024390243902439025, 0.036585365853658534, 0.024390243902439025, 0.15853658536585366, 0.024390243902439025, 0.012195121951219513, 0.036585365853658534, 0.024390243902439025, 0.13414634146341464, 0.012195121951219513, 0.012195121951219513, 0.024390243902439025, 0.024390243902439025, 0.012195121951219513, 0.012195121951219513, 0.10975609756097561, 0.012195121951219513, 0.024390243902439025, 0.012195121951219513, 0.036585365853658534, 0.012195121951219513, 0.012195121951219513, 0.012195121951219513, 0.08536585365853659, 0.024390243902439025]
8;[23, 169, 322, 370, 386, 435, 439, 463, 496, 497, 498, 499, 503, 605, 683, 710, 750, 771, 867, 875, 944, 1125];[0.14102564102564102, 0.02564102564102564, 0.01282051282051282, 0.02564102564102564, 0.02564102564102564, 0.02564102564102564, 0.038461538461538464, 0.02564102564102564, 0.02564102564102564, 0.02564102564102564, 0.02564102564102564, 0.14102564102564102, 0.02564102564102564, 0.02564102564102564, 0.1282051282051282, 0.02564102564102564, 0.02564102564102564, 0.02564102564102564, 0.02564102564102564, 0.02564102564102564, 0.02564102564102564, 0.1282051282051282]
9;[165, 174, 362, 370, 414, 443, 794, 992, 1040, 1115];[0.22, 0.04, 0.04, 0.04, 0.28, 0.02, 0.14, 0.08, 0.04, 0.1]
10;[30, 126, 157, 170, 296, 301, 322, 370, 413, 443, 581, 676, 715, 722, 728, 758, 782, 835, 878, 941, 1115, 1215, 1218, 1234, 1239];[0.0650887573964497, 0.023668639053254437, 0.08284023668639054, 0.05325443786982249, 0.05917159763313609, 0.011834319526627219, 0.011834319526627219, 0.01775147928994083, 0.08284023668639054, 0.04142011834319527, 0.08284023668639054, 0.07692307692307693, 0.011834319526627219, 0.011834319526627219, 0.029585798816568046, 0.011834319526627219, 0.023668639053254437, 0.011834319526627219, 0.07692307692307693, 0.011834319526627219, 0.07100591715976332, 0.011834319526627219, 0.07692307692307693, 0.011834319526627219, 0.029585798816568046]
