query_number;text;max_expected_size
1;['EFFECTS', 'CALCIUM', 'PHYSICAL', 'PROPERTIES', 'MUCUS', 'PATIENTS'];304
2;['ONE', 'DISTINGUISH', 'EFFECTS', 'MUCUS', 'HYPERSECRETION', 'INFECTION', 'SUBMUCOSAL', 'GLANDS', 'RESPIRATORY', 'TRACT'];304
3;['SALIVARY', 'GLYCOPROTEINS', 'PATIENTS', 'DIFFERENT', 'NORMAL', 'SUBJECTS'];304
4;['LIPID', 'COMPOSITION', 'RESPIRATORY', 'SECRETIONS'];304
5;['MUCUS', 'ABNORMAL'];304
6;['EFFECT', 'WATER', 'THERAPEUTIC', 'AGENTS', 'PHYSICAL', 'PROPERTIES', 'VISCOSITY', 'ELASTICITY', 'SPUTUM', 'BRONCHIAL', 'SECRETIONS', 'PATIENTS'];304
7;['MUCUS', 'GLYCOPROTEINS', 'DEGRADED', 'DIFFERENTLY', 'PATIENTS', 'COMPARED', 'NORMAL', 'SUBJECTS'];304
8;['HISTOCHEMICAL', 'DIFFERENCES', 'DESCRIBED', 'NORMAL', 'RESPIRATORY', 'EPITHELIA'];304
9;['ASSOCIATION', 'LIVER', 'DISEASE', 'CIRRHOSIS', 'VITAMIN', 'METABOLISM'];304
10;['ROLE', 'VITAMIN', 'THERAPY', 'PATIENTS'];304
11;['DIFFERENCE', 'MECONIUM', 'ILEUS', 'MECONIUM', 'PLUG', 'SYNDROME'];304
12;['ABNORMALITIES', 'AMINO', 'ACID', 'TRANSPORT', 'DESCRIBED', 'SMALL', 'BOWEL', 'PATIENTS'];304
13;['CLINICAL', 'BIOCHEMICAL', 'FEATURES', 'PANCREATITIS', 'PATIENTS'];304
14;['NON', 'INVASIVE', 'TESTS', 'PERFORMED', 'EVALUATION', 'EXOCRINE', 'PANCREATIC', 'FUNCTION', 'PATIENTS'];304
15;['HEPATIC', 'COMPLICATIONS', 'MANIFESTATIONS'];304
16;['GASTROINTESTINAL', 'COMPLICATIONS', 'NEONATAL', 'PERIOD', 'EXCLUDE', 'LIVER', 'DISEASE', 'MECONIUM', 'ILEUS'];304
